FREQ_ID,FREQ_NAME,REF_AREA_ID,REF_AREA_NAME,INDICATOR_ID,INDICATOR_NAME,UNIT_MEASURE_ID,UNIT_MEASURE_NAME,DATABASE_ID_ID,DATABASE_ID_NAME,UNIT_MULT_ID,UNIT_MULT_NAME,OBS_STATUS_ID,OBS_STATUS_NAME,OBS_CONF_ID,OBS_CONF_NAME,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
A,Annual,DOM,Dominican Republic,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,14.3013401,14.07833958,11.55195999,,,11.82159042,13.5051899,,
A,Annual,DZA,Algeria,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,25.38279915,,24.01218987,29.10560989,26.11730957,,,,31.21939087,31.06930923,,34.23498154,32.42552185,29.58332062,30.12995911,29.89043045,
A,Annual,ECU,Ecuador,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,12.01963043,13.28052998,,,,,,14.33887005,16.6878109,15.83638,,9.37841988,16.2435894,18.29923058,,,
A,Annual,EGY,"Egypt, Arab Rep.",WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,11.24118996,,,,,,16.87924004,
A,Annual,ERI,Eritrea,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,20.65613937,27.03776932,,17.34317017,29.46429062,18.97927094,,,,,,,,,,,,29.04854012,,,,,,,
A,Annual,ESP,Spain,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,23.78615952,25.42914963,27.28025055,27.93445969,28.97752953,28.76682091,27.89454079,27.54784966,27.14930916,26.72246933,26.4021492,26.30594063,25.83959961,22.78544998,25.78223991,24.65685081,25.37435913,23.8803997,23.45458031,22.26664925,,20.80768013,21.46225929,,
A,Annual,EST,Estonia,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,18.92480087,19.41802979,18.71052933,17.27202034,18.92275047,18.53443909,22.8440609,21.61787987,23.7789402,23.55223083,22.69997025,23.65591049,24.21372986,24.83168983,27.12800026,26.40823936,26.47031021,27.46052933,28.83992958,27.73244095,27.90954971,27.47613907,28.12272072,,
A,Annual,ETH,Ethiopia,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,13.20864964,10.56161976,,10.6721096,12.40110016,13.00889969,15.30035973,,,11.21716976,,,,,,,,,,,,,,,
A,Annual,FIN,Finland,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,26.41494942,29.95665932,28.2919693,29.95284081,29.09090996,30.11128998,30.32926941,,,,,28.4765892,32.14868164,28.10936928,27.93169975,27.91200066,27.75716019,28.48546028,29.53126907,27.25345993,28.12023926,28.37907028,27.9406395,28.2132206,29.39967918,
A,Annual,FJI,Fiji,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,,,,,17.14975929,,,,
A,Annual,FRA,France,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,30.55257034,,30.36725044,29.88172913,27.67510986,,27.69936943,27.23559952,27.17922974,27.02154922,,,26.10246086,23.36857033,23.73192024,25.2671299,25.56111908,,25.39432907,25.76939011,25.88977051,25.55400085,,
A,Annual,GBR,United Kingdom,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,24.92054939,27.50637054,26.96746063,25.90254021,22.77503967,22.2018795,21.77256966,21.69634056,21.40638924,21.81572914,22.45952034,22.43763924,21.93527031,25.18131065,25.59524918,26.14690018,26.31962013,,,26.24662018,22.75428963,22.26078987,,
A,Annual,GEO,Georgia,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,23.53862,22.98324966,22.27462959,22.64092064,23.54060936,24.17797089,,21.59538078,16.22472,,,17.44868088,,21.12700081,,,,21.70314026,21.87618065,21.23757935,24.55977058,18.63929939,19.57872009,19.64207077,
A,Annual,GHA,Ghana,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,,,,,,,,,,,,,,,,,14.2355299,12.23637009,13.38852024,16.36783981,16.41172028,15.21646976,16.72151947,14.27632999,
A,Annual,GIB,Gibraltar,WB_EDSTATS_UIS_FOSGP_5T8_F500600700,"Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, (%)",SHARE,Share (proportion),WB_EDSTATS,Education Statistics,0,Units,A,Normal value,PU,Public,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,0.0,,,
